DTUTC,VINT,TEMPC
01-Feb-2024 01:00:00,0.058606,16.079
01-Feb-2024 01:05:00,0.05878,16.074
01-Feb-2024 01:10:00,0.058544,16.069
01-Feb-2024 01:15:00,0.058659,16.048
01-Feb-2024 01:20:00,0.058693,16.038
01-Feb-2024 01:25:00,0.058653,16.027
01-Feb-2024 01:30:00,0.058543,16.019
01-Feb-2024 01:35:00,0.058549,16.018
01-Feb-2024 01:40:00,0.05847,16.005
01-Feb-2024 01:45:00,0.058594,16.016
01-Feb-2024 01:50:00,0.058575,16.008
01-Feb-2024 01:55:00,0.058386,15.99
01-Feb-2024 02:00:00,0.058648,15.982
01-Feb-2024 02:05:00,0.058426,15.991
01-Feb-2024 02:10:00,0.058207,15.992
01-Feb-2024 02:15:00,0.058381,15.993
01-Feb-2024 02:20:00,0.058324,15.992
01-Feb-2024 02:25:00,0.058114,15.976
01-Feb-2024 02:30:00,0.058202,15.965
01-Feb-2024 02:35:00,0.058164,15.968
01-Feb-2024 02:40:00,0.058193,15.966
01-Feb-2024 02:45:00,0.05837,15.965
01-Feb-2024 02:50:00,0.058204,15.965
01-Feb-2024 02:55:00,0.058146,15.959
01-Feb-2024 03:00:00,0.057971,15.955
01-Feb-2024 03:05:00,0.058105,15.953
01-Feb-2024 03:10:00,0.058179,15.948
01-Feb-2024 03:15:00,0.058202,15.955
01-Feb-2024 03:20:00,0.058216,15.956
01-Feb-2024 03:25:00,0.058125,15.956
01-Feb-2024 03:30:00,0.057995,15.954
01-Feb-2024 03:35:00,0.058004,15.952
01-Feb-2024 03:40:00,0.058107,15.952
01-Feb-2024 03:45:00,0.058054,15.942
01-Feb-2024 03:50:00,0.058159,15.946
01-Feb-2024 03:55:00,0.058151,15.943
01-Feb-2024 04:00:00,0.05825,15.948
01-Feb-2024 04:05:00,0.05824,15.949
01-Feb-2024 04:10:00,0.057969,15.952
01-Feb-2024 04:15:00,0.058332,15.954
01-Feb-2024 04:20:00,0.058173,15.954
01-Feb-2024 04:25:00,0.058391,15.952
01-Feb-2024 04:30:00,0.058266,15.947
01-Feb-2024 04:35:00,0.057971,15.939
01-Feb-2024 04:40:00,0.05793,15.929
01-Feb-2024 04:45:00,0.058172,15.931
01-Feb-2024 04:50:00,0.058228,15.927
01-Feb-2024 04:55:00,0.058063,15.916
01-Feb-2024 05:00:00,0.057871,15.898
01-Feb-2024 05:05:00,0.057986,15.894
01-Feb-2024 05:10:00,0.057828,15.89
01-Feb-2024 05:15:00,0.057781,15.879
01-Feb-2024 05:20:00,0.057621,15.873
01-Feb-2024 05:25:00,0.057687,15.874
01-Feb-2024 05:30:00,0.057721,15.871
01-Feb-2024 05:35:00,0.057542,15.865
01-Feb-2024 05:40:00,0.057523,15.864
01-Feb-2024 05:45:00,0.057345,15.865
01-Feb-2024 05:50:00,0.057587,15.862
01-Feb-2024 05:55:00,0.058237,15.863
01-Feb-2024 06:00:00,0.058056,15.856
01-Feb-2024 06:05:00,0.058109,15.857
01-Feb-2024 06:10:00,0.058046,15.859
01-Feb-2024 06:15:00,0.0579,15.859
01-Feb-2024 06:20:00,0.057585,15.859
