DTUTC,PHSPEC,TCSPEC,DIC,TA,SAL,QC
10-Apr-2012 16:30:00,NaN,NaN,2067.63,2240.87,33.335,4
17-Apr-2012 18:25:00,NaN,NaN,2046.41,2244.68,33.511,4
24-Apr-2012 17:30:00,NaN,NaN,2052.36,2246.39,33.614,4
03-May-2012 16:17:00,NaN,NaN,1951.07,2120.94,33.542,4
07-May-2012 22:30:00,NaN,NaN,1985.31,2244.77,33.571,4
22-May-2012 16:45:00,NaN,NaN,2075.79,2249.47,33.63,4
29-May-2012 21:00:00,NaN,NaN,1996.53,2247.19,33.635,4
08-Jun-2012 16:40:00,NaN,NaN,2009.08,2247.58,33.627,4
12-Jun-2012 16:10:00,NaN,NaN,2013.34,2241.58,33.592,4
19-Jun-2012 18:40:00,NaN,NaN,2026.33,2235.87,33.598,4
12-Jul-2012 21:30:00,NaN,NaN,1959.72,2240.32,33.557,4
19-Jul-2012 16:00:00,NaN,NaN,1972.48,2239.19,33.547,4
27-Jul-2012 17:45:00,NaN,NaN,1967.07,2238,33.52,4
08-Aug-2012 16:15:00,NaN,NaN,1986.58,2235.58,33.545,4
08-Aug-2012 16:15:00,NaN,NaN,1995.06,2234.6,33.543,4
17-Aug-2012 16:50:00,NaN,NaN,1989.85,2239.34,33.533,4
21-Aug-2012 17:18:00,7.9775,25,1990.29,2241.58,33.551,1
05-Sep-2012 16:30:00,7.928,25,2003.72,2229.13,33.437,1
21-Sep-2012 23:00:00,7.9332,25,2004.29,2235.53,33.448,1
05-Oct-2012 18:00:00,7.8982,25,2020.68,2232.39,33.426,1
18-Oct-2012 18:40:00,7.9104,25,2017.71,2236.52,33.454,1
22-Oct-2012 16:10:00,7.9372,25,2004.51,2236.85,33.487,1
30-Oct-2012 18:00:00,7.9124,25,2019.93,2241.03,33.404,1
06-Nov-2012 21:35:00,7.9455,25,2005.67,2239.83,33.523,1
12-Nov-2012 20:55:00,7.915,25,2022.24,2243.06,33.523,1
26-Nov-2012 16:55:00,7.8956,25,2023.73,2239.79,33.55,1
27-Nov-2012 01:17:00,7.8617,25,NaN,NaN,NaN,4
27-Nov-2012 17:05:00,7.8823,25,2027.88,2236.79,33.509,1
03-Dec-2012 19:40:00,7.8674,25,2037.87,2241.13,33.528,1
14-Dec-2012 17:40:00,7.8621,25,2011.46,2206.96,32.604,1
20-Dec-2012 16:55:00,7.8888,25,2031.09,2243.23,33.49,1
