DTUTC,QC
16-Oct-2013 19:30:00,2
30-Oct-2013 18:30:00,2
06-Nov-2013 20:45:00,2
13-Nov-2013 18:30:00,2
20-Nov-2013 18:45:00,2
25-Nov-2013 19:00:00,1
11-Dec-2013 18:30:00,4
11-Dec-2013 19:15:00,1
16-Dec-2013 16:30:00,1
30-Dec-2013 18:30:00,1
30-Dec-2013 18:45:00,1
25-Feb-2014 18:30:00,1
04-Mar-2014 20:00:00,2
14-Mar-2014 15:15:00,4
20-Mar-2014 16:30:00,1
25-Mar-2014 17:45:00,1
09-Apr-2014 18:15:00,1
16-Apr-2014 17:00:00,1
28-May-2014 17:30:00,4
06-Jun-2014 17:30:00,2
12-Jun-2014 17:45:00,2
17-Jun-2014 17:30:00,1
24-Jun-2014 16:15:00,1
02-Jul-2014 17:45:00,1
17-Jul-2014 16:45:00,1
28-Jul-2014 17:00:00,1
06-Aug-2014 23:30:00,2
06-Aug-2014 23:45:00,2
03-Dec-2014 20:15:00,4
10-Dec-2014 18:00:00,1
07-Jan-2015 17:45:00,4
13-Jan-2015 17:00:00,1
13-Jan-2015 17:15:00,1
13-Jan-2015 17:30:00,1
13-Jan-2015 17:45:00,1
22-Jan-2015 17:15:00,1
13-Feb-2015 17:45:00,4
04-Mar-2015 17:15:00,1
04-Mar-2015 17:30:00,1
09-Mar-2015 16:15:00,1
20-Mar-2015 16:45:00,1
26-Mar-2015 16:15:00,1
14-Apr-2015 18:30:00,1
22-Apr-2015 16:15:00,1
22-Apr-2015 15:30:00,4
29-Apr-2015 16:15:00,1
05-May-2015 16:30:00,1
14-May-2015 15:00:00,1
29-May-2015 16:30:00,1
02-Jun-2015 19:30:00,1
31-Jul-2015 17:30:00,2
06-Aug-2015 17:30:00,1
14-Aug-2015 17:15:00,1
21-Aug-2015 17:15:00,1
28-Aug-2015 17:30:00,4
28-Aug-2015 17:45:00,4
03-Sep-2015 16:30:00,1
10-Sep-2015 17:00:00,1
18-Sep-2015 16:15:00,1
25-Sep-2015 16:30:00,1
07-Oct-2015 16:15:00,1
16-Oct-2015 16:15:00,1
22-Oct-2015 18:00:00,4
18-Nov-2015 20:45:00,2
18-Nov-2015 21:00:00,1
18-Nov-2015 21:15:00,2
18-Nov-2015 21:30:00,2
18-Nov-2015 21:45:00,2
18-Nov-2015 22:00:00,2
03-Dec-2015 17:45:00,1
15-Jan-2016 16:45:00,1
15-Jan-2016 17:00:00,1
22-Jan-2016 17:45:00,1
27-Jan-2016 18:00:00,1
11-Feb-2016 18:15:00,1
11-Feb-2016 18:30:00,1
11-Feb-2016 18:45:00,2
24-Feb-2016 18:15:00,1
01-Mar-2016 18:00:00,1
18-Mar-2016 17:45:00,1
31-Mar-2016 19:30:00,1
21-Apr-2016 19:30:00,1
21-Apr-2016 19:45:00,1
05-May-2016 22:00:00,1
19-May-2016 17:30:00,1
19-May-2016 17:45:00,1
02-Jun-2016 19:15:00,2
09-Aug-2016 16:30:00,4
30-Aug-2016 16:45:00,1
14-Sep-2016 17:00:00,1
29-Sep-2016 16:15:00,1
12-Oct-2016 16:30:00,1
01-Nov-2016 17:15:00,1
15-Nov-2016 18:15:00,1
01-Dec-2016 17:30:00,1
14-Dec-2016 22:30:00,1
06-Jan-2017 17:45:00,1
06-Jan-2017 18:45:00,1
18-Jan-2017 20:30:00,2
31-Jan-2017 20:15:00,1
15-Feb-2017 18:00:00,1
03-Mar-2017 22:15:00,1
21-Mar-2017 16:00:00,1
21-Mar-2017 16:15:00,1
07-Apr-2017 17:30:00,1
23-May-2017 16:30:00,4
15-Jun-2017 19:15:00,4
03-Jul-2017 18:45:00,1
18-Jul-2017 18:30:00,2
04-Aug-2017 18:30:00,2
21-Aug-2017 16:45:00,2
21-Aug-2017 17:00:00,1
21-Aug-2017 17:15:00,1
21-Aug-2017 17:45:00,1
21-Aug-2017 18:00:00,1
21-Aug-2017 18:15:00,1
08-Sep-2017 16:30:00,1
16-Oct-2017 23:00:00,1
02-Nov-2017 16:45:00,4
15-Nov-2017 23:00:00,4
15-Nov-2017 23:15:00,4
16-Nov-2017 00:00:00,4
22-Nov-2017 17:30:00,1
22-Nov-2017 17:45:00,1
22-Nov-2017 18:00:00,1
01-Dec-2017 22:15:00,1
01-Dec-2017 22:30:00,1
01-Dec-2017 22:45:00,1
01-Dec-2017 23:00:00,1
14-Dec-2017 18:30:00,1
24-Jan-2018 18:45:00,4
21-Feb-2018 20:30:00,1
21-Feb-2018 20:45:00,1
21-Feb-2018 21:00:00,1
21-Feb-2018 21:15:00,1
06-Mar-2018 23:45:00,1
20-Mar-2018 19:00:00,1
20-Mar-2018 19:15:00,1
02-Apr-2018 17:45:00,4
16-May-2018 19:00:00,1
06-Jun-2018 18:15:00,1
20-Jun-2018 22:45:00,1
06-Jul-2018 16:15:00,2
16-Jul-2018 16:15:00,1
09-Aug-2018 17:15:00,2
17-Aug-2018 18:30:00,1
29-Aug-2018 17:45:00,2
21-Sep-2018 19:20:00,1
21-Sep-2018 19:25:00,1
09-Oct-2018 16:40:00,1
09-Oct-2018 16:45:00,1
09-Oct-2018 16:50:00,1
09-Oct-2018 16:55:00,1
07-Nov-2018 23:20:00,1
07-Nov-2018 23:25:00,1
27-Nov-2018 18:20:00,1
27-Nov-2018 18:25:00,1
27-Nov-2018 18:30:00,1
14-Dec-2018 19:20:00,1
14-Dec-2018 19:25:00,1
14-Dec-2018 19:30:00,1
14-Dec-2018 19:35:00,1
14-Dec-2018 19:40:00,1
14-Dec-2018 19:45:00,1
14-Dec-2018 19:50:00,1
14-Dec-2018 19:55:00,1
25-Jan-2019 19:40:00,1
25-Jan-2019 19:45:00,1
25-Jan-2019 19:50:00,1
25-Jan-2019 19:55:00,1
25-Jan-2019 20:00:00,1
25-Jan-2019 20:05:00,1
25-Jan-2019 20:10:00,1
25-Jan-2019 20:15:00,1
30-Jan-2019 18:40:00,1
30-Jan-2019 18:45:00,1
12-Feb-2019 19:55:00,4
12-Feb-2019 20:00:00,4
15-Mar-2019 16:45:00,1
15-Mar-2019 16:50:00,1
28-Mar-2019 14:45:00,2
28-Mar-2019 14:50:00,1
28-Mar-2019 14:55:00,1
09-May-2019 18:00:00,1
09-May-2019 18:05:00,1
31-May-2019 18:10:00,2
31-May-2019 18:15:00,2
31-May-2019 18:20:00,2
31-May-2019 18:25:00,2
31-May-2019 18:30:00,2
28-Jun-2019 17:50:00,1
28-Jun-2019 17:55:00,1
28-Jun-2019 18:00:00,1
23-Jul-2019 16:15:00,1
23-Jul-2019 16:20:00,1
23-Jul-2019 16:25:00,1
23-Jul-2019 16:30:00,1
23-Jul-2019 16:35:00,1
23-Jul-2019 16:40:00,1
09-Aug-2019 17:35:00,1
09-Aug-2019 17:40:00,1
09-Aug-2019 17:45:00,1
22-Aug-2019 16:30:00,1
22-Aug-2019 16:35:00,1
04-Oct-2019 19:25:00,1
04-Oct-2019 19:30:00,1
04-Oct-2019 19:35:00,1
04-Oct-2019 19:40:00,1
18-Dec-2019 18:15:00,1
18-Dec-2019 18:20:00,1
18-Dec-2019 18:25:00,1
17-Jan-2020 19:40:00,1
17-Jan-2020 19:45:00,1
14-Feb-2020 18:00:00,1
14-Feb-2020 18:05:00,1
05-Mar-2020 18:10:00,1
05-Mar-2020 18:15:00,1
12-May-2020 23:45:00,1
12-May-2020 23:50:00,1
12-May-2020 23:55:00,1
27-May-2020 17:55:00,1
27-May-2020 18:00:00,1
27-May-2020 18:05:00,1
27-May-2020 18:10:00,1
27-May-2020 18:15:00,1
27-May-2020 18:20:00,1
10-Jul-2020 17:55:00,1
10-Jul-2020 18:00:00,1
10-Jul-2020 18:05:00,1
10-Jul-2020 18:10:00,1
10-Jul-2020 18:10:00,1
29-Jul-2020 18:45:00,1
29-Jul-2020 18:50:00,1
29-Jul-2020 18:55:00,1
29-Jul-2020 19:00:00,1
29-Jul-2020 19:05:00,1
29-Jul-2020 19:10:00,1
21-Aug-2020 18:30:00,1
21-Aug-2020 18:35:00,1
18-Sep-2020 18:40:00,2
18-Sep-2020 18:45:00,1
18-Sep-2020 18:55:00,1
28-Oct-2020 17:35:00,1
28-Oct-2020 17:40:00,1
28-Oct-2020 17:45:00,1
28-Oct-2020 17:50:00,1
28-Oct-2020 17:55:00,1
